tree,height_m,file,bad,threshold,area_px,area_mm2,area_frac
12603,5.1,23839.tif,0,100,426263,26641.4,0.9764
12603,6.1,23841.tif,0,10,875,54.7,0.0027
12603,6.1,23841.tif,0,20,5768,360.5,0.0175
12603,6.1,23841.tif,0,30,14570,910.6,0.0442
12603,6.1,23841.tif,0,40,19567,1222.9,0.0593
12603,6.1,23841.tif,0,50,27788,1736.8,0.0842
12603,6.1,23841.tif,0,60,66948,4184.2,0.203
12603,6.1,23841.tif,0,70,260181,16261.3,0.7888
12603,6.1,23841.tif,0,80,295204,18450.2,0.895
12603,6.1,23841.tif,0,90,305142,19071.4,0.9251
12603,6.1,23841.tif,0,100,318983,19936.4,0.967
1539,1.4,23731.tif,0,10,688,43.0,0.0008
1539,1.4,23731.tif,0,20,1329,83.1,0.0015
1539,1.4,23731.tif,0,30,5882,367.6,0.0065
1539,1.4,23731.tif,0,40,18279,1142.4,0.0201
1539,1.4,23731.tif,0,50,30798,1924.9,0.0338
1539,1.4,23731.tif,0,60,169619,10601.2,0.1862
1539,1.4,23731.tif,0,70,760248,47515.5,0.8344
1539,1.4,23731.tif,0,80,905304,56581.5,0.9936
1539,1.4,23731.tif,0,90,910685,56917.8,0.9995
1539,1.4,23731.tif,0,100,911139,56946.2,1.0
1539,4.0,23729.tif,0,10,6287,392.9,0.0105
1539,4.0,23729.tif,0,20,28182,1761.4,0.0472
1539,4.0,23729.tif,0,30,56991,3561.9,0.0954
1539,4.0,23729.tif,0,40,107146,6696.6,0.1793
1539,4.0,23729.tif,0,50,148411,9275.7,0.2484
1539,4.0,23729.tif,0,60,171221,10701.3,0.2865
1539,4.0,23729.tif,0,70,400750,25046.9,0.6707
1539,4.0,23729.tif,0,80,587084,36692.8,0.9825
1539,4.0,23729.tif,0,90,597520,37345.0,1.0
1539,4.0,23729.tif,0,100,597527,37345.4,1.0
1539,5.0,23727.tif,0,10,1639,102.4,0.0029
1539,5.0,23727.tif,0,20,2919,182.4,0.0052
1539,5.0,23727.tif,0,30,6302,393.9,0.0112
1539,5.0,23727.tif,0,40,37030,2314.4,0.0659
1539,5.0,23727.tif,0,50,66802,4175.1,0.1188
1539,5.0,23727.tif,0,60,200574,12535.9,0.3567
1539,5.0,23727.tif,0,70,414249,25890.6,0.7367
1539,5.0,23727.tif,0,80,554913,34682.1,0.9869
1539,5.0,23727.tif,0,90,562257,35141.1,1.0
1539,5.0,23727.tif,0,100,562259,35141.2,1.0
