tree,height_m,file,bad,dist_pith_mm,dist_edge_mm,arc_deg,arc_len_mm,max_thick_mm,area_px,area_mm2,area_frac,r_area_mm,r_bearing_mm,dist_edge_bearing_mm,area_t10_mm2,area_t20_mm2,area_t30_mm2,area_t40_mm2,area_t50_mm2,area_t60_mm2,area_t70_mm2,area_t80_mm2,area_t90_mm2,area_t100_mm2
12603,1.4,23833.tif,0,58.3,77.1,11.6,12.2,3.5,548,34.2,0.0007,139.4,97.8,35.6,34.2,204.9,361.1,560.6,910.4,1669.8,7693.2,21505.2,37492.8,41690.2
12603,3.1,23835.tif,0,110.5,8.4,10.0,20.0,4.1,952,59.5,0.0016,127.9,164.5,45.0,59.5,263.9,381.0,1767.6,3033.4,3669.8,13643.5,29853.4,33688.3,35309.1
12603,4.1,23837.tif,0,81.6,17.4,14.7,22.8,3.4,969,60.6,0.0021,113.5,138.5,42.3,60.6,101.7,191.8,411.2,632.2,2124.1,10237.3,23414.6,26192.6,27354.7
12603,5.1,23839.tif,0,82.9,12.6,18.0,28.2,4.2,1313,82.1,0.003,109.1,139.3,42.8,82.1,298.2,391.2,1496.2,2195.7,2966.7,12043.6,22645.2,24564.2,25510.8
12603,6.1,23841.tif,0,63.0,24.1,11.9,14.1,3.1,605,37.8,0.0018,97.0,124.6,51.7,37.8,157.6,350.9,513.4,945.3,1264.8,1791.8,6179.2,16923.3,18526.8
1539,1.4,23731.tif,0,92.6,47.5,3.3,5.4,2.0,182,11.4,0.0002,142.1,153.0,58.4,11.4,46.2,78.1,302.3,889.4,1435.4,8532.0,41903.5,56070.8,56875.2
1539,4.0,23729.tif,0,64.8,47.0,15.2,17.6,3.6,699,43.7,0.0012,114.8,118.5,50.7,43.7,415.5,1721.2,3479.2,6645.1,9202.8,10567.4,24371.1,36370.6,37345.1
1539,5.0,23727.tif,0,57.0,51.9,21.6,22.0,2.8,782,48.9,0.0014,111.4,107.4,47.8,48.9,129.9,201.6,633.2,2584.8,4618.9,14331.6,30250.9,35058.8,35141.2
1539,6.0,23725.tif,0,49.1,52.5,21.1,18.5,2.6,581,36.3,0.0012,104.0,104.9,53.5,36.3,176.9,554.2,2139.2,4723.3,6971.1,14259.2,26931.6,30546.5,30622.3
3615,1.4,23805.tif,0,85.4,50.0,1.0,1.6,0.8,28,1.8,0.0,136.5,146.7,60.2,1.8,41.4,96.2,133.8,315.7,1773.5,23565.0,49008.2,52001.1,52122.7
3615,4.0,23804.tif,0,19.6,90.3,6.5,2.4,3.4,105,6.6,0.0002,113.3,117.2,94.3,6.6,152.8,725.5,2167.7,5118.2,10129.9,30101.6,36092.2,36193.6,36194.7
3615,5.0,23802.tif,0,77.3,21.4,5.4,7.5,3.4,305,19.1,0.0006,101.9,103.0,22.6,19.1,484.5,1116.5,2214.0,3654.6,9695.8,24133.6,28829.8,29328.6,29382.8
3615,6.0,23723.tif,0,56.7,37.4,9.8,9.9,2.3,319,19.9,0.0008,96.5,96.5,37.4,19.9,227.6,838.6,1722.4,2158.0,5364.2,23758.2,26325.1,26406.6,26406.6
3726,1.6,23816.tif,0,77.6,53.2,5.2,7.2,2.9,297,18.6,0.0004,134.0,132.4,51.7,18.6,31.4,49.2,129.8,818.4,25316.8,47794.2,49626.6,50110.4,50787.8
3726,4.6,23818.tif,0,87.0,37.7,4.4,6.8,1.8,182,11.4,0.0002,127.0,129.7,40.5,11.4,74.2,229.5,540.2,13188.4,37777.7,43547.2,44781.5,45589.9,45683.8
3726,5.6,23820.tif,0,94.8,18.7,2.6,4.4,4.7,262,16.4,0.0004,117.9,123.6,24.4,16.4,1772.6,2772.2,4375.1,9809.6,27981.2,35806.8,38003.3,38665.9,38724.4
3726,6.6,23821.tif,0,73.7,28.5,7.3,9.9,4.3,483,30.2,0.0011,109.9,121.5,40.0,30.2,153.3,955.4,1770.1,3109.6,16491.2,25059.4,26962.1,27483.8,27538.1
3726,7.6,23823.tif,0,29.9,58.0,16.2,10.2,4.4,515,32.2,0.0015,99.3,94.7,53.4,32.2,111.9,367.7,696.0,3889.8,15539.4,19231.9,20870.8,21237.4,21315.8
4802,1.4,23814.tif,0,62.2,74.8,17.1,20.2,11.2,2580,161.2,0.0026,146.8,148.0,76.1,161.2,496.4,2142.6,2911.1,9433.5,45114.9,55726.9,59201.5,60323.4,60831.8
4802,5.4,23811.tif,0,74.9,45.1,16.2,21.6,3.0,768,48.0,0.0011,122.8,119.6,41.9,48.0,243.9,451.6,693.8,2519.2,29726.3,40965.3,42135.4,42724.2,42761.5
4802,6.4,23809.tif,0,64.8,46.8,46.0,53.6,4.6,3239,202.4,0.0053,115.6,111.7,43.0,202.4,507.1,603.8,872.2,12324.6,31698.9,36804.2,37539.0,37846.6,37848.2
4802,7.4,23807.tif,0,57.1,50.8,39.8,41.0,4.1,2259,141.2,0.004,111.5,105.4,44.6,141.2,409.9,533.7,814.4,2841.4,20850.0,32121.8,34252.0,34677.0,34944.4
6610,1.4,23843.tif,0,77.0,22.3,13.1,18.8,7.2,1581,98.8,0.0035,109.8,105.9,18.4,98.8,350.8,1312.9,1742.0,1936.3,2109.1,5237.1,7389.7,16353.2,22920.9
6610,3.8,23845.tif,0,45.8,25.7,36.5,36.1,4.2,1566,97.9,0.0048,93.9,94.4,26.3,97.9,776.1,1219.5,1573.6,2005.8,2363.3,2788.9,7679.7,17584.9,19348.9
6610,4.8,23847.tif,0,49.7,24.2,22.0,22.4,9.2,2672,167.0,0.0097,89.5,91.2,25.8,167.0,926.8,1275.4,1594.0,1821.1,2041.8,3827.7,12230.6,16349.6,16902.9
6610,5.8,23849.tif,0,25.5,52.8,10.9,5.6,4.8,348,21.8,0.0014,86.2,79.4,46.0,21.8,411.0,597.2,754.1,1195.8,1691.0,7592.4,11348.9,14281.4,15285.8
7308,3.4,23713.tif,0,65.8,35.8,37.7,44.4,3.3,1968,123.0,0.004,104.7,105.7,36.8,123.0,523.0,697.9,1108.1,2273.3,8406.4,24461.4,30337.4,30812.2,31062.7
7308,4.4,23715.tif,0,58.3,32.7,20.1,21.3,3.9,1111,69.4,0.0027,95.4,98.8,36.1,69.4,811.1,1534.1,2509.1,3407.8,14276.1,23328.0,25688.9,25790.4,25790.6
7308,5.4,23717.tif,0,48.7,36.1,99.0,88.9,4.4,4578,286.1,0.0125,89.9,90.4,36.6,286.1,585.0,863.8,1739.9,2859.8,6708.9,19079.4,22684.7,22908.9,22917.3
7308,6.4,23719.tif,0,40.9,38.9,99.8,74.9,4.0,3554,222.1,0.0112,83.8,82.4,37.5,222.1,464.3,644.4,977.9,1498.6,9672.1,17716.0,19755.7,19900.4,19901.9
7308,7.4,23721.tif,0,38.7,39.3,36.0,25.1,2.8,827,51.7,0.0028,80.7,85.0,43.6,51.7,113.4,255.4,323.3,522.9,4639.7,13967.5,17902.5,18336.5,18378.2
7308,8.4,23735.tif,0,24.1,43.6,14.2,6.3,1.8,170,10.6,0.0008,69.8,66.9,40.7,10.6,127.4,182.8,677.9,1733.9,6028.8,11999.8,13624.0,13708.1,13712.7
7308,9.4,23732.tif,1,43.8,14.8,5.3,4.1,2.4,134,8.4,0.0008,61.3,61.8,15.3,8.4,44.1,106.8,413.0,1305.1,2433.4,7670.5,9985.1,10618.1,10660.5
8249,0.12,23896.tif,0,,,,,,0,0.0,0.0,,,,0.0,2.2,25.4,98.7,184.7,224.5,270.1,336.0,574.3,1000.3
8249,1.12,23898.tif,0,21.2,13.5,2.7,1.0,0.0,23,1.4,0.001,36.0,56.6,34.1,1.4,34.6,62.4,201.2,240.1,266.1,307.5,351.9,850.8,1183.5
8249,1.4,23900.tif,0,31.1,1.8,1.7,1.0,0.9,29,1.8,0.0016,34.6,57.7,24.9,1.8,10.9,44.1,142.6,188.2,226.2,257.8,302.4,478.5,957.4
8430,0.3,23890.tif,0,,,,,,0,0.0,0.0,,,,0.0,1.5,9.9,22.4,30.4,59.8,156.9,265.7,385.5,753.9
8430,1.4,23892.tif,0,,,,,,0,0.0,0.0,,,,0.0,0.0,0.0,1.4,8.8,30.1,144.6,505.4,2968.8,4526.8
8430,2.3,23894.tif,0,,,,,,0,0.0,0.0,,,,0.0,0.0,0.0,0.8,1.8,15.3,30.4,363.6,1363.2,3254.6
8627,1.4,23865.tif,0,66.1,17.8,5.9,7.2,2.6,241,15.1,0.0008,90.0,92.2,20.0,15.1,71.4,212.2,297.9,559.4,1090.4,1541.2,3169.4,6826.8,13077.4
8627,3.4,23867.tif,0,53.0,21.8,4.7,4.5,5.3,311,19.4,0.0014,80.2,81.5,23.1,19.4,210.9,332.6,896.5,1093.3,1523.6,1959.6,3381.2,7846.6,11719.8
8627,4.4,23869.tif,0,31.9,15.4,31.6,25.6,10.8,2043,127.7,0.0113,74.6,77.0,17.8,127.7,437.5,864.6,1629.2,1799.4,1897.8,3079.7,4213.1,6085.1,9593.2
8627,5.4,23871.tif,0,15.5,4.5,78.7,58.4,5.5,2647,165.4,0.0173,69.4,81.6,16.7,165.4,288.8,704.5,866.9,966.7,1047.6,2195.8,3696.8,7029.1,8766.9
8714,1.4,23825.tif,0,64.3,53.5,1.3,1.4,0.0,23,1.4,0.0,119.0,116.4,50.9,1.4,19.7,73.8,101.1,243.6,599.3,781.6,1510.2,11510.1,28571.9
8714,2.0,23827.tif,0,28.0,55.2,77.0,50.6,5.4,2534,158.4,0.0059,106.4,88.7,37.5,158.4,483.5,914.1,1318.5,2846.2,3281.1,3924.7,7114.1,19063.9,26132.3
8714,3.0,23829.tif,0,34.6,24.9,74.6,73.1,6.2,4215,263.4,0.0107,102.9,111.1,33.0,263.4,454.0,713.8,2146.0,2934.8,4159.0,9616.4,15090.1,21651.6,24199.7
8714,4.0,23831.tif,0,55.2,30.5,3.8,3.8,2.6,124,7.8,0.0004,90.3,107.5,47.7,7.8,183.2,335.1,393.2,441.2,690.9,1605.2,2313.8,9364.9,17008.9
prune,1.4,23851.tif,0,,,,,,0,0.0,0.0,,,,0.0,4.2,18.0,56.2,208.1,483.6,699.5,1474.0,13583.2,31989.1
prune,2.5,23853.tif,0,,,,,,0,0.0,0.0,,,,0.0,9.9,14.9,42.6,54.7,108.2,292.1,1388.4,11851.6,29474.6
prune,3.5,23855.tif,0,,,,,,0,0.0,0.0,,,,0.0,2.4,6.2,12.2,18.9,60.4,407.6,3841.1,22453.4,26663.1
prune,4.5,23857.tif,0,66.9,21.6,8.9,11.0,3.1,449,28.1,0.0014,94.9,116.9,43.7,28.1,84.6,128.3,263.2,392.2,478.6,1707.2,5851.7,18301.2,19806.9
prune,5.5,23859.tif,0,43.1,21.5,25.7,25.0,5.7,1798,112.4,0.0071,88.4,115.9,49.1,112.4,156.2,347.1,404.1,649.4,1468.1,1766.1,4930.0,14615.9,15553.4
prune,6.5,23861.tif,0,28.2,38.5,23.9,16.3,5.3,1043,65.2,0.0039,87.6,103.3,54.2,65.2,203.6,367.9,732.4,1412.5,2237.9,3848.6,7798.6,14875.0,16005.6
prune,7.5,23863.tif,0,19.8,48.8,5.3,2.2,7.8,215,13.4,0.0011,76.2,101.6,74.2,13.4,58.6,139.2,174.0,196.7,217.2,255.4,2414.7,9966.6,11364.8
